,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2024-09-28,00:02:53.866, 6589.09, 2024.96,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6562.53, 2024.47,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,13151.62, 4049.43,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17201.05, 6655.87, 1964.30,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6624.84, 1958.17,    0.00,    0.00,,,,,,,,,13280.71, 3922.47,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17203.18,  26432.33,   7971.90,      0.00,      0.00,  26432.33,   7971.90,  34404.23
2024-09-28,00:02:54.866,11286.63, 3267.59,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,11249.53, 3262.97,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,22536.16, 6530.56,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,29066.72,11466.83, 3249.16,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,11429.24, 3240.64,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,22896.07, 6489.80,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,29385.88,  45432.23,  13020.37,      0.00,      0.00,  45432.23,  13020.37,  58452.60
2024-09-28,00:02:55.867, 7606.58, 2250.75,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7586.19, 2251.33,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,15192.77, 4502.08,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,19694.85, 7789.67, 2251.95,    0.00,    0.00,,,,,,,,, 7759.23, 2244.98,    0.00,    0.00,,,,,,,,,15548.90, 4496.92,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,20045.83,  30741.68,   8999.00,      0.00,      0.00,  30741.68,   8999.00,  39740.68
2024-09-28,00:02:56.867, 5160.89, 1594.39,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5137.25, 1594.20,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,10298.14, 3188.59,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,13486.72, 5245.00, 1600.62,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 5219.84, 1595.21,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,10464.84, 3195.83,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,13660.67,  20762.98,   6384.42,      0.00,      0.00,  20762.98,   6384.42,  27147.40
2024-09-28,00:02:57.867, 7966.07, 2433.91,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7944.12, 2433.11,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,15910.19, 4867.02,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,20777.21, 8131.13, 2434.58,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 8100.46, 2428.55,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,16231.59, 4863.14,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,21094.73,  32141.78,   9730.16,      0.00,      0.00,  32141.78,   9730.16,  41871.95
2024-09-28,00:02:58.869, 7679.86, 2284.78,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7658.61, 2282.76,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,15338.47, 4567.54,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,19906.01, 7853.25, 2324.21,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7825.14, 2317.14,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,15678.39, 4641.35,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,20319.74,  31016.86,   9208.88,      0.00,      0.00,  31016.87,   9208.88,  40225.75
2024-09-28,00:02:59.869, 9739.06, 2923.62,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 9710.17, 2923.02,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,19449.23, 5846.64,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,25295.87, 9943.87, 2943.10,    0.00,    0.00,,,,,,,,, 9903.76, 2934.61,    0.00,    0.00,,,,,,,,,19847.63, 5877.71,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,25725.34,  39296.86,  11724.35,      0.00,      0.00,  39296.86,  11724.35,  51021.21
2024-09-28,00:03:00.867, 6481.14, 1938.69,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6458.90, 1936.87,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,12940.04, 3875.56,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16815.60, 6641.56, 1991.05,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 6611.46, 1982.85,    0.00,    0.00,,,,,,,,,13253.02, 3973.90,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17226.93,  26193.06,   7849.46,      0.00,      0.00,  26193.06,   7849.46,  34042.52
2024-09-28,00:03:01.868, 8735.06, 2667.68,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 8707.51, 2660.93,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,17442.57, 5328.60,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,22771.17, 8954.65, 2661.95,    0.00,    0.00,,,,,,,,, 8921.31, 2651.38,    0.00,    0.00,,,,,,,,,17875.96, 5313.33,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,23189.29,  35318.52,  10641.93,      0.00,      0.00,  35318.53,  10641.93,  45960.46
2024-09-28,00:03:02.867, 7599.19, 2373.08,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7574.32, 2368.88,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,15173.52, 4741.96,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,19915.48, 7774.32, 2340.55,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,, 7744.80, 2330.54,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,15519.12, 4671.08,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,20190.21,  30692.64,   9413.05,      0.00,      0.00,  30692.64,   9413.05,  40105.69
