,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2024-09-29,00:27:48.863,   67.99,   19.98,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   66.17,   19.59,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  134.16,   39.58,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  173.74,   15.34,   13.10,    0.00,    0.00,    0.00,    0.00,  361.01,  570.09,    0.00,    0.00,  360.79,  569.63,   13.67,   12.04,    0.00,    0.00,    0.00,    0.00,  360.72,  569.34,    0.00,    0.00,  361.16,  570.08,   29.01,   25.14, 1443.67, 2279.14,    0.98,    0.97,    0.00,    0.00,   54.15,    163.17,     64.72,   1443.67,   2279.14,   1606.84,   2343.86,   3950.69
2024-09-29,00:27:49.863,   74.08,   17.68,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   72.27,   16.92,    0.00,    0.00,    0.00,    0.00,    0.01,    0.00,,,,,  146.35,   34.60,    0.01,    0.00,    0.99,    0.99,    0.00,    0.00,  180.95,   22.15,   16.89,    0.00,    0.00,    0.00,    0.00,  418.62,  642.55,    0.00,    0.00,  418.35,  642.22,   19.82,   15.83,    0.00,    0.00,    0.00,    0.00,  417.74,  641.37,    0.00,    0.00,  417.38,  640.96,   41.97,   32.73, 1672.09, 2567.09,    0.98,    0.98,    0.00,    0.00,   74.70,    188.32,     67.33,   1672.09,   2567.09,   1860.41,   2634.42,   4494.83
2024-09-29,00:27:50.863,   82.49,   17.28,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   80.45,   16.30,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  162.94,   33.58,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  196.53,   18.32,   10.89,    0.00,    0.00,    0.00,    0.00,  404.21,  675.76,    0.00,    0.00,  403.74,  674.89,   16.22,    9.48,    0.00,    0.00,    0.00,    0.00,  402.86,  673.30,    0.00,    0.00,  402.22,  672.07,   34.54,   20.38, 1613.03, 2696.02,    0.98,    0.98,    0.00,    0.00,   54.92,    197.49,     53.96,   1613.04,   2696.02,   1810.52,   2749.98,   4560.50
2024-09-29,00:27:51.863,   79.52,   20.67,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   77.73,   20.39,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  157.26,   41.06,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  198.32,   25.06,   19.12,    0.00,    0.00,    0.00,    0.00,  463.43,  579.80,    0.00,    0.00,  463.09,  579.23,   22.39,   17.82,    0.00,    0.00,    0.00,    0.00,  462.89,  578.77,    0.00,    0.00,  462.62,  578.35,   47.45,   36.93, 1852.03, 2316.16,    0.98,    0.98,    0.00,    0.00,   84.39,    204.71,     77.99,   1852.04,   2316.16,   2056.75,   2394.15,   4450.90
2024-09-29,00:27:52.864,   42.84,   13.65,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   41.43,   13.58,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   84.27,   27.23,    0.01,    0.00,    0.99,    0.99,    0.00,    0.00,  111.50,   12.05,    8.47,    0.00,    0.00,    0.00,    0.00,  240.15,  430.48,    0.00,    0.00,  240.15,  430.40,   10.55,    7.34,    0.00,    0.00,    0.00,    0.00,  240.10,  430.37,    0.00,    0.00,  240.12,  430.50,   22.60,   15.81,  960.52, 1721.75,    0.97,    0.96,    0.00,    0.00,   38.41,    106.88,     43.04,    960.52,   1721.75,   1067.40,   1764.78,   2832.18
2024-09-29,00:27:53.864,   70.73,   19.06,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   68.28,   18.09,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  139.01,   37.15,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  176.16,   22.16,   18.54,    0.00,    0.00,    0.00,    0.00,  404.24,  434.57,    0.00,    0.00,  404.01,  434.42,   18.89,   16.67,    0.00,    0.00,    0.00,    0.00,  402.44,  432.44,    0.00,    0.00,  405.19,  435.78,   41.05,   35.21, 1615.88, 1737.21,    0.98,    0.98,    0.00,    0.00,   76.26,    180.06,     72.36,   1615.88,   1737.21,   1795.95,   1809.57,   3605.52
2024-09-29,00:27:54.966,   74.24,   18.03,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   71.82,   17.27,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  146.05,   35.30,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  181.35,   22.09,   18.81,    0.00,    0.00,    0.00,    0.00,  309.21,  394.92,    0.00,    0.00,  309.98,  397.18,   20.66,   18.01,    0.00,    0.00,    0.00,    0.00,  310.78,  399.70,    0.00,    0.00,  313.62,  404.65,   42.75,   36.82, 1243.59, 1596.45,    1.03,    1.01,    0.00,    0.00,   79.57,    188.80,     72.12,   1243.59,   1596.45,   1432.39,   1668.57,   3100.96
2024-09-29,00:27:55.868,   52.27,   28.82,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   49.16,   27.41,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  101.44,   56.22,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  157.66,   20.45,   10.81,    0.00,    0.00,    0.00,    0.00,  221.97,  421.89,    0.00,    0.00,  220.92,  419.27,   18.15,    9.08,    0.00,    0.00,    0.00,    0.00,  219.31,  415.53,    0.00,    0.00,  218.17,  412.61,   38.60,   19.89,  880.38, 1669.29,    0.93,    0.95,    0.00,    0.00,   58.49,    140.04,     76.11,    880.38,   1669.29,   1020.41,   1745.40,   2765.82
2024-09-29,00:27:56.867,   40.79,   16.56,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   39.19,   16.52,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   79.97,   33.08,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  113.06,   12.72,    9.51,    0.00,    0.00,    0.00,    0.00,  255.22,  449.47,    0.00,    0.00,  255.11,  449.29,   10.49,    7.59,    0.00,    0.00,    0.00,    0.00,  255.03,  449.30,    0.00,    0.00,  255.20,  449.54,   23.21,   17.10, 1020.56, 1797.59,    0.98,    0.97,    0.00,    0.00,   40.31,    103.18,     50.18,   1020.56,   1797.59,   1123.75,   1847.78,   2971.52
2024-09-29,00:27:57.867,   57.81,   27.76,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   55.35,   27.35,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  113.16,   55.11,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  168.27,   22.88,   18.22,    0.00,    0.00,    0.00,    0.00,  306.47,  522.10,    0.00,    0.00,  306.15,  522.07,   20.67,   16.72,    0.00,    0.00,    0.00,    0.00,  306.14,  522.82,    0.00,    0.00,  306.73,  522.19,   43.55,   34.94, 1225.49, 2089.17,    0.99,    0.99,    0.00,    0.00,   78.49,    156.71,     90.05,   1225.49,   2089.17,   1382.20,   2179.22,   3561.42
2024-09-29,00:27:58.869,   53.12,   20.60,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,   51.46,   20.37,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  104.58,   40.96,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  145.54,   17.52,   10.77,    0.00,    0.00,    0.00,    0.00,  313.56,  501.88,    0.00,    0.00,  312.86,  501.88,   15.36,    9.01,    0.00,    0.00,    0.00,    0.00,  313.11,  502.38,    0.00,    0.00,  313.31,  501.75,   32.89,   19.77, 1252.84, 2007.90,    0.98,    0.98,    0.00,    0.00,   52.66,    137.47,     60.73,   1252.84,   2007.90,   1390.31,   2068.63,   3458.94
